plot_name,ddlon,ddlat
TJK010,10.2439,0.384762
TJK011,10.2446,0.385535
TJK012,10.2647,0.417787
TJK013,10.2423,0.385217
TJK014,10.2431,0.385795
TJK015,10.2751,0.429293
TAB18,10.5497,-0.780028
TEB001,13.2342,-0.258833
TEB022,12.2234,-2.27708
TEB023,12.2214,-2.27895
TEB024,12.2274,-2.27399
TEB025,12.2264,-2.27602
TEB026,12.2244,-2.26531
TEB027,12.1688,-2.17899
TEB028,12.1697,-2.17824
TEB029,12.1785,-2.20764
TEB030,12.1781,-2.20445
TEB031,12.173,-2.16345
TEB032,12.1691,-2.16142
TEB033,12.1819,-2.04326
TEB034,12.1656,-2.04403
TEB035,12.2391,-2.25039
TEB036,12.2387,-2.2544
TEB037,12.2426,-2.25384
TEB038,12.2431,-2.25166
TEB039,12.2331,-2.27787
TEB040,11.61,-3.00232
TEB014,12.1965,-0.141079
TEB015,12.1973,-0.142716
TEB016,12.3479,-0.092723
TEB017,12.3543,-0.0674475
TEB018,12.3527,-0.0725585
TEB019,12.3448,0.114253
TEB020,12.3512,0.107023
TEB021,12.2024,-0.136837
TEB041,11.6099,-3.00405
TEB042,11.6585,-3.0814
TEB043,11.6539,-3.21011
TEB044,11.5891,-2.85254
TEB045,11.5838,-2.82959
TNT031,12.617,-1.76805
TNT032,12.6361,-1.73492
TNT033,12.6197,-1.76062
TNT034,12.617,-1.77486
TNT035,12.6189,-1.77541
TNT036,12.6224,-1.7872
TNT037,12.623,-1.79075
TNT038,12.5266,-1.48795
TNT039,12.5034,-1.5301
TNT040,12.5115,-1.5241
TNT042,12.5264,-1.48152
TNT043,12.5238,-1.51796
TNT044,12.5227,-1.51024
TNT045,12.5262,-1.4994
TNT046,12.4292,-0.754745
TNT047,12.4256,-0.770317
TNT048,12.4641,-0.737724
TNT049,12.4587,-0.740449
TNT050,12.4381,-0.736673
ML045,12.5612,-0.1937
TAB17,10.5737,-0.773475
GD001,11.3677,-1.60705
GD002,11.3681,-1.6039
GD003,11.3708,-1.60277
GD004,11.3606,-1.60918
GD005,11.2872,-1.2263
GD006,11.2802,-1.22712
GD007,11.2899,-1.23351
GD008,11.3013,-1.2313
TAB051,10.2433,0.383879
GD009,11.3009,-1.22125
GD010,11.3038,-1.21446
GD011,11.2159,0.40438
GD012,11.2253,0.40636
GD013,11.2252,0.43655
GD014,10.1988,-1.73071
GD015,10.1714,-1.81856
