ID,NameNoAuthors,LongitudeDecimal,LatitudeDecimal
17,Dialium lopense,11.6,-0.2
19,Aphanocalyx heitzii,11.5,-0.41666
20,Augouardia letestui,11.5,-0.41666
21,Gilletiodendron pierreanum,11.95,0.15
22,Augouardia letestui,12,-0.2
23,Gilbertiodendron unijugum,9.36666,0.5
24,Gilbertiodendron unijugum,9.36666,0.5
25,Oddoniodendron gambanum,11.9,0.45
26,Neochevalierodendron stephanii,9.91666,-1.91666
27,Oddoniodendron gambanum,11.9,0.45
28,Bikinia grisea,11.96666,0.56666
29,Bikinia grisea,11.96666,0.56666
30,Calpocalyx heitzii,10.41666,-2.33333
31,Bikinia aciculifera,10.41666,-2.33333
32,Gabonius ngouniensis,10.41666,-2.33333
34,Neochevalierodendron stephanii,11.75,-0.45
35,Dialium lopense,11.66666,0.33333
36,Pseudoprosopis gilletii,11.75,-0.45
38,Augouardia letestui,11.5,-0.41666
39,Calpocalyx heitzii,10.01666,-0.2
40,Augouardia letestui,11.5,-0.41666
41,Neochevalierodendron stephanii,11.75,-0.45
42,Leptoderris tomentella,10.01666,-0.2
43,Dialium lopense,11.6666667,-0.25
44,Dialium lopense,11.66666,-0.25
45,Librevillea klainei,10.8,-0.08333
46,Gilbertiodendron unijugum,9.36666,0.5
47,Pseudoprosopis gilletii,11.75,-0.45
48,Pseudoprosopis gilletii,11.91666,0.41666
49,Bikinia pellegrinii,11.88333,0.4
50,Bikinia grisea,11.93333,0.4
51,Bikinia grisea,11.91666,0.45
52,Bikinia pellegrinii,11.93333,0.56666
53,Bikinia pellegrinii,11.93333,0.56666
54,Anthonotha mouandzae,10.4166667,-2.3333333
55,Oddoniodendron normandii,10.91666,0.21666
56,Julbernardia brieyi,10.91666,0.21666
57,Bikinia coriacea,10.91666,0.21666
61,Calpocalyx heitzii,10.58333,-2.41666
66,Calpocalyx heitzii,9.66666,0.55
67,Anthonotha stipulacea,10.8,-1.06666
70,Augouardia letestui,10.8,-1.06666
73,Neochevalierodendron stephanii,11.66666,-0.25
74,Baphia cuspidata,12.23333,-0.28333
239,Trillesanthus excelsus,12.23333,-0.35
240,Trillesanthus excelsus,11.75,-0.45
241,Trillesanthus excelsus,11.75,-0.45
242,Puelia schumanniana,10.05,2.38333
167,Cleistanthus gabonensis,11.25,-1.6666667
168,Cleistanthus gabonensis,11.25,-1.6666667
147,Begonia susaniae,10.9,0.2
148,Begonia aggeloptera,10.38333,0.66666
149,Dacryodes letestui,15.3833333,-2.6333333
150,Dacryodes buettneri,10.8,-1.06666
152,Dacryodes buettneri,12.866667,0.566667
153,Dacryodes buettneri,12.866667,0.566667
157,Heckeldora leptotricha,10.3833333,3.0833333
159,Dichapetalum pierrei,11.81666,-1.16666
160,Tapura bouquetiana,9.83333,0
161,Tapura bouquetiana,11.5,-0.41666
162,Dichapetalum bellum,13.63333,-1.65
163,Dichapetalum bellum,11.75,-0.45
164,Dichapetalum bellum,12.23333,-0.28333
295,Hunteria ballayi,16.18333,2.35
75,Eurypetalum tessmannii,12.23333,-0.35
76,Baphia polyantha,12.2333333,-0.35
77,Neochevalierodendron stephanii,12.23333,-0.35
79,Dialium lopense,12.23333,-0.35
81,Oddoniodendron gambanum,12.2333333,-0.35
5,Dactyladenia ndjoleensis,10.8,-0.08333
6,Dactyladenia ndjoleensis,10.8,-0.08333
8,Rhynchosia gabonensis,10.38333,0.66666
9,Crudia zenkeri,10.38333,0.66666
10,Copaifera religiosa,10.28333,-1
12,Neochevalierodendron stephanii,11.5,-0.41666
13,Neochevalierodendron stephanii,11.5,-0.41666
14,Tetraberlinia polyphylla,9.83333,0
15,Calpocalyx klainei,9.83333,0
16,Dialium lopense,11.9,0.36666
83,Baphia polyantha,11.75,-0.45
84,Gilletiodendron pierreanum,11.75,-0.45
85,Oddoniodendron gambanum,11.75,-0.45
86,Dalbergiella gossweileri,11.75,-0.45
142,Paropsia gabonica,11.66666,-0.25
116,Dacryodes buettneri,11.5,-0.41666
117,Dacryodes normandii,11.5,-0.41666
118,Dacryodes igaganga,11.5,-0.41666
119,Dacryodes buettneri,9.83333,0
120,Dacryodes buettneri,11.6,-0.2
121,Dacryodes letestui,11.25,-1.6666667
122,Dacryodes igaganga,10,1.08333
123,Dacryodes heterotricha,10.58333,-2.41666
124,Dacryodes heterotricha,10.58333,-2.41666
126,Aucoumea klaineana,11.75,-0.45
127,Dacryodes buettneri,10.93333,0.21666
128,Dioncophyllum thollonii,10.8,-1.06666
296,Hunteria ballayi,16.16666,2.36666
297,Hunteria ballayi,16.16666,2.35
298,Tabernaemontana letestui,10.8,-1.06666
299,Landolphia reticulata,11.38333,-1.7
171,Plagiocladus diandrus,10.0166667,-0.2
178,Macaranga gabunica,10.8,-1.06666
283,Letestua durissima,11.66666,-0.25
284,Diospyros rubicunda,9.83333,0
285,Diospyros rubicunda,9.83333,0
286,Afrostyrax macranthus,10.28333,-1
287,Landolphia pyramidata,10.28333,-1
288,Hunteria ballayi,11.96666,0.56666
289,Landolphia reticulata,11.5,-0.41666
290,Rauvolfia letouzeyi,9.83333,0
291,Tabernaemontana letestui,11.81666,-1.16666
292,Landolphia reticulata,9.91666,-1.91666
293,Hunteria ballayi,16.18333,2.33333
294,Hunteria ballayi,16.13333,2.36666
243,Dioncophyllum thollonii,10.28333,-1
244,Begonia clypeifolia,10.3833333,0.6666667
246,Begonia susaniae,10.41666,0.65
436,Plagiocladus diandrus,11.25,-1.6666667
437,Macaranga gabunica,10.01666,-0.2
