tax_tax,plot_name
Santiria trimera,GD001
Santiria trimera,GD001
Rubiaceae,GD001
Anisophyllea purpurascens,GD001
Beilschmiedia,GD001
Santiria trimera,GD001
Engomegoma gordonii,GD001
Dichostemma glaucescens,GD001
Dichostemma glaucescens,GD001
Dichostemma glaucescens,GD001
Strombosia pustulata,GD001
Dichostemma glaucescens,GD001
Heisteria parvifolia,GD001
Strombosiopsis tetrandra,GD001
Strombosia pustulata,GD001
Diospyros,GD001
Irvingia gabonensis,GD001
Santiria trimera,GD001
Santiria trimera,GD001
Heisteria parvifolia,GD001
Cleistanthus gabonensis,GD001
Mareyopsis,GD001
Dichostemma glaucescens,GD001
Rubiaceae,GD001
Cleistanthus willmannianus,GD001
Hymenostegia pellegrinii,GD001
Plagiostyles africana,GD001
Mammea africana,GD001
Amanoa bracteosa,GD001
Plagiostyles africana,GD001
Bikinia le-testui,GD001
Eriocoelum,GD001
Dacryodes heterotricha,GD001
Maranthes glabra,GD001
Hymenostegia pellegrinii,GD001
Hymenostegia pellegrinii,GD001
Cleistanthus gabonensis,GD001
Santiria trimera,GD001
Santiria trimera,GD001
Cleistanthus willmannianus,GD001
Hymenostegia pellegrinii,GD001
Strombosiopsis tetrandra,GD001
Erismadelphus exsul,GD001
Santiria trimera,GD001
Santiria trimera,GD001
Dacryodes buettneri,GD001
Engomegoma gordonii,GD001
Staudtia kamerunensis,GD001
Newtonia leucocarpa,GD001
Coelocaryon preussii,GD001
Heisteria parvifolia,GD001
Scytopetalum klaineanum,GD001
Dichostemma glaucescens,GD001
Newtonia griffoniana,GD001
Dichostemma glaucescens,GD001
Warneckea,GD001
Aidia micrantha,GD001
Baphia leptostemma,GD001
Leplaea thompsonii,GD001
Greenwayodendron suaveolens,GD001
Coelocaryon preussii,GD001
Heisteria parvifolia,GD001
Scytopetalum klaineanum,GD001
Garcinia le-testui,GD001
Strombosia grandifolia,GD001
Maesobotrya klaineana,GD001
Maesobotrya barteri,GD001
Dichostemma glaucescens,GD001
Cleistanthus gabonensis,GD001
Heisteria parvifolia,GD001
Maesobotrya barteri,GD001
Strombosiopsis tetrandra,GD001
Drypetes,GD001
Drypetes,GD001
Sorindeia,GD001
Aidia micrantha,GD001
Corynanthe macroceras,GD001
Corynanthe macroceras,GD001
Heisteria parvifolia,GD001
Strombosia grandifolia,GD001
Rhaptopetalum sindarense,GD001
Heisteria parvifolia,GD001
Dichostemma glaucescens,GD001
Dacryodes,GD001
Santiria trimera,GD001
Coelocaryon preussii,GD001
Scytopetalum klaineanum,GD001
Scytopetalum klaineanum,GD001
Strombosiopsis tetrandra,GD001
